공모전명,조회수,주최,주관,응모분야,참가자격,접수기간,1등시상금,입사_가산점,인턴정직원_채용,기획/아이디어,광고/마케팅,학술,사진/영상/UCC,디자인,문학/시나리오,건축/건설/인테리어,브랜드/네이밍,예체능,대외활동,취업/창업,IT/소프트웨어/게임,분야별_기타
2019 KDB산업은행 동영상 공모전 - KDB를 대놓고 or 은근슬쩍 PPL하라,618,KDB산업은행,완주군로컬잡센터,UCC/영상,제한없음,2019-07-22 ~ 2019-08-18,300만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019년 소상공인 신사업 아이디어 공모전,1301,소상공인시장진흥공단,완주군로컬잡센터,기획/아이디어취업/창업,대학생/대학원생/일반인,2019-07-15 ~ 2019-08-16,250만원,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"김대중, 노무현 대통령 서거10주기 국민과 더불어 사진 공모전",613,더불어민주당,경기관광공사,사진,제한없음,2019-07-18 ~ 2019-07-29,"1,500만원",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019 노원탈축제 창작탈 전국 공모전,388,"노원탈축제추진위원회, 노원문화재단, 노원문화원","노원탈축제추진위원회, 노원문화재단, 노원문화원",디자인,제한없음,2019-08-01 ~ 2019-08-02,100만원,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019년 오산화폐 오색전 사진 및 영상공모전,794,오산시,"노원탈축제추진위원회, 노원문화재단, 노원문화원",사진UCC/영상,제한없음,2019-07-22 ~ 2019-08-31,100만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019 군산시간여행 패션1930's  디자인경진대회,519,군산시 / 군산시간여행축제추진위원회,(주)이벤트갤러리커뮤니케이션,디자인,제한없음,2019-07-22 ~ 2019-08-20,500만원,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019 게임문화 학술논문 공모전: 게임은 문화다,1202,한국콘텐츠진흥원,한국콘텐츠진흥원,논문/리포트게임/소프트웨어,대학생/대학원생,2019-06-05 ~ 2019-08-16,200만원,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
WAF2019 제15회 애니메이션·웹툰 공모전,4802,"문화체육관광부, 광주광역시",(재)광주정보문화산업진흥원,UCC/영상캐릭터/만화,제한없음,2019-07-22 ~ 2019-08-20,"1,000만원",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"제5회 JPDC 창의사업 공모전 ""내가Green제주 소셜리빙랩""",2256,"제주특별자치도, 제주특별자치도개발공사","제주특별자치도개발공사, (사)제주사회적경제네트워크",기획/아이디어광고/마케팅취업/창업,제한없음,2019-07-25 ~ 2019-08-25,300만원,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"광주문화재단, 문화다양성 사진 공모전",821,광주문화재단,광주문화재단,사진,제한없음,2019-07-24 ~ 2019-09-20,100만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SKKU와 함께하는 2019 여름방학 청소년 창업 캠프, 제4회 EN-able 캠프",787,성균관대학교 LINC+사업단,"성균관대학교 창업교육센터, 연세대학교 창업지원단, 한국청년기업가정신재단, 바이러스네트워크",취업/창업,고등학생,2019-07-19 ~ 2019-08-02,100만원,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019 광주광역시 국민 정책 아이디어 공모,1697,광주광역시,2019 스카이페스티벌,기획/아이디어광고/마케팅,제한없음,2019-07-22 ~ 2019-08-09,200만원,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"제1회 BJ팬아트 공모전 (BJ줄게, 금손다오!)",1088,아프리카TV,아프리카tV,캐릭터/만화,제한없음,2019-07-22 ~ 2019-08-11,300만원,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
제 8회 평택 가족캠핑 스마트 영상제,333,평택시,평택스마트영상제,UCC/영상,제한없음,2019-06-03 ~ 2019-08-23,200만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019년 학교 밖 청소년 인식개선을 위한 UCC 공모전,726,여성가족부,한국청소년상담복지개발원,UCC/영상,제한없음,2019-09-02 ~ 2019-09-10,100만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
박덕은 전국 백일장,2321,한실문예창작,한국청소년상담복지개발원,문학/수기,제한없음,2019-10-05 ~ 2019-10-05,150만원,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
민화 속 호랑이 조각 공모전,1159,국립백두대간수목원,한국청소년상담복지개발원,예체능,제한없음,2019-08-26 ~ 2019-10-13,200만원,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
제1회 시티문화재단 청소년 웹툰 공모전,1409,(재)시티문화재단,(재)시티문화재단,캐릭터/만화,중학생/고등학생,2019-07-15 ~ 2019-09-15,200만원,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"방정환 탄생 120주년, 방정환의 마블 그리기 공모전 (공모전 기간 연장)",961,한국방정환재단,"한국방정환재단, 도서출판 보리, 개똥이네 놀이터",디자인,어린이/초등학생,2019-07-22 ~ 2019-08-22,10만원,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"국민연금과 함께하는 수기, 일러스트 공모전 네티즌 심사",2351,국민연금공단,"한국방정환재단, 도서출판 보리, 개똥이네 놀이터",디자인광고/마케팅,제한없음,2019-07-29 ~ 2019-08-05,10만원,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
‘힘이 되는 치매동행’ 일러스트 재능기부모집,895,대구광역시 서구보건소,"한국방정환재단, 도서출판 보리, 개똥이네 놀이터",기획/아이디어디자인,제한없음,2019-08-01 ~ 2019-09-10,기타,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
