공모전명,조회수,주최,주관,응모분야,참가자격,접수기간,1등시상금,입사_가산점,인턴정직원_채용,기획/아이디어,광고/마케팅,학술,사진/영상/UCC,디자인,문학/시나리오,건축/건설/인테리어,브랜드/네이밍,예체능,대외활동,취업/창업,IT/소프트웨어/게임,분야별_기타
(서포터즈) 대학생 서포터즈 (2기 책친구) 모집,657,경의선 책거리 x 한국작가회의,경의선 책거리,대외활동,대학생/대학원생,2020-02-01 ~ 2020-02-21,150만원,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"(서포터즈)""Will You Join Us?"" 외국인 참여형 한국어 영상 크리에이터",347,조인어스코리아,경의선 책거리,대외활동,대학생,2020-01-31 ~ 2020-02-14,150만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기타) 2020년 청소년특별회의 청소년 위원(선발직) 모집 공고,808,한국청소년활동진흥원,경의선 책거리,대외활동,대학생/초등학생/중학생/고등학생,2020-01-20 ~ 2020-02-17,150만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈)2020 대전청년 정책네트워크 3기 모집 및 청년정책학교 안내,437,대전청년정책네트워크,대전광역시,대외활동,제한없음,2020-02-03 ~ 2020-02-29,"10,000천원",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈)고우해커스 지구촌특파원 4기&고득점멘토 3기 모집,472,고우해커스,gohackers,대외활동,제한없음,2020-01-10 ~ 2020-02-09,"10,000천원",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈)LNA 서포터즈 9기 모집,676,LNA,LNA,대외활동,대학생,2020-02-04 ~ 2020-02-23,150만원,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈)한국커리어개발원 취업 ON 서포터즈 5기 모집,356,한국커리어개발원,한국커리어개발원,대외활동,대학생,2020-02-03 ~ 2020-02-23,150만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(기자단)2020 '국세청 톡톡' 기자단 모집,417,국세청,(주)빛솔커뮤니케이션,대외활동,대학생/일반인,2020-02-03 ~ 2020-02-16,100만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(서포터즈)오비맥주 대학생서포터즈 '오비랑' 1기 환경재단과 함께하는 ECO SPEAKER 모집,3089,"오비맥주, 환경재단","오비맥주, 환경재단",디자인광고/마케팅UCC/영상대외활동,대학생,2020-02-11 ~ 2020-03-08,"1,500만원",0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
(서포터즈)한국포럼 한국일보 포럼 서포터즈 3기 모집,642,한국일보,한국일보,대외활동,대학생,2020-02-03 ~ 2020-02-26,"1,500만원",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
